id,text,sentiment
1387,The restaurant opens at noon on weekdays,neutral
1388,So grateful for all the support from my friends,positive
1389,"The new update is fantastic, so much better now",positive
1390,I am going to the store later today,neutral
1391,"Such a letdown, expected so much more",negative
1392,I am going to the store later today,neutral
1393,"Worst flight I have ever taken, never again",negative
1394,"Just finished an incredible book, highly recommend",positive
1395,"Great service today, very happy with the results",positive
1396,"Just finished an incredible book, highly recommend",positive
1397,"Such a letdown, expected so much more",negative
1398,"The app crashes constantly, completely unusable",negative
1399,Disgusted by the lack of response from support,negative
1400,"Thrilled with my new purchase, exceeded expectations",positive
1401,"I love this product, absolutely amazing experience!",positive
1402,"Such a letdown, expected so much more",negative
1403,Loving the new features in this app,positive
1404,The team is working on the new feature,neutral
1405,The event was attended by over 500 people,neutral
1406,Disgusted by the lack of response from support,negative
1407,Downloaded the latest version of the software,neutral
1408,"Just had the most wonderful meal, highly recommend",positive
1409,Downloaded the latest version of the software,neutral
1410,"This is the best day ever, feeling fantastic!",positive
1411,"Great service today, very happy with the results",positive
1412,"Just finished an incredible book, highly recommend",positive
1413,Just checked the weather forecast for tomorrow,neutral
1414,"Extremely disappointed, not what was advertised at all",negative
1415,"Horrible quality, broke after just two days",negative
1416,Feeling motivated and ready to take on the world,positive
1417,So grateful for all the support from my friends,positive
1418,The restaurant opens at noon on weekdays,neutral
1419,This is the worst decision I have ever made,negative
1420,"Terrible experience with customer service, very disappointed",negative
1421,Loving the new features in this app,positive
1422,"So angry about the hidden fees, total scam",negative
1423,The new model was released yesterday,neutral
1424,My flight departs at 6am tomorrow morning,neutral
1425,"Just finished an incredible book, highly recommend",positive
1426,Loving the new features in this app,positive
1427,Downloaded the latest version of the software,neutral
1428,Best coffee I have ever had this morning,positive
1429,My flight departs at 6am tomorrow morning,neutral
1430,Updated my profile information on the platform,neutral
1431,"Never buying from this brand again, awful experience",negative
1432,"Just had the most wonderful meal, highly recommend",positive
1433,The meeting is scheduled for 3pm,neutral
1434,"Such a letdown, expected so much more",negative
1435,So grateful for all the support from my friends,positive
1436,Watched a documentary about space last night,neutral
1437,Downloaded the latest version of the software,neutral
1438,Downloaded the latest version of the software,neutral
1439,The restaurant opens at noon on weekdays,neutral
1440,The conference starts next Monday in Paris,neutral
1441,The team is working on the new feature,neutral
1442,Happy to announce I got the job! Super excited,positive
1443,"Just had the most wonderful meal, highly recommend",positive
1444,The team is working on the new feature,neutral
1445,The conference starts next Monday in Paris,neutral
1446,Downloaded the latest version of the software,neutral
1447,"Never buying from this brand again, awful experience",negative
1448,"The new update is fantastic, so much better now",positive
1449,The conference starts next Monday in Paris,neutral
1450,So grateful for all the support from my friends,positive
1451,Currently reading about machine learning,neutral
1452,Cannot believe how bad this service has gotten,negative
1453,"Never buying from this brand again, awful experience",negative
1454,"Worst flight I have ever taken, never again",negative
1455,Very frustrated with the constant delays,negative
1456,Downloaded the latest version of the software,neutral
1457,Just checked the weather forecast for tomorrow,neutral
1458,"Just had the most wonderful meal, highly recommend",positive
1459,Watched a documentary about space last night,neutral
1460,Just checked the weather forecast for tomorrow,neutral
1461,I am going to the store later today,neutral
1462,"This is the best day ever, feeling fantastic!",positive
1463,Loving the new features in this app,positive
1464,The package arrived this afternoon,neutral
1465,The team is working on the new feature,neutral
1466,"This update ruined everything, reverting immediately",negative
1467,The new model was released yesterday,neutral
1468,"Never buying from this brand again, awful experience",negative
1469,The event was attended by over 500 people,neutral
1470,"Such a letdown, expected so much more",negative
1471,"Extremely disappointed, not what was advertised at all",negative
1472,Happy to announce I got the job! Super excited,positive
1473,"Just finished an incredible book, highly recommend",positive
1474,"Just finished an incredible book, highly recommend",positive
1475,"The app crashes constantly, completely unusable",negative
1476,Disgusted by the lack of response from support,negative
1477,The conference starts next Monday in Paris,neutral
1478,"Worst flight I have ever taken, never again",negative
1479,"Beautiful weather today, perfect for a walk",positive
1480,"Excellent customer support, resolved my issue immediately",positive
1481,"Such a letdown, expected so much more",negative
1482,Watched a documentary about space last night,neutral
1483,"Just finished an incredible book, highly recommend",positive
1484,The new model was released yesterday,neutral
1485,This product is a complete waste of money,negative
1486,The conference starts next Monday in Paris,neutral
1487,Best coffee I have ever had this morning,positive
1488,I am going to the store later today,neutral
1489,"Just had the most wonderful meal, highly recommend",positive
1490,The event was attended by over 500 people,neutral
1491,I am going to the store later today,neutral
1492,I am going to the store later today,neutral
1493,"The new update is fantastic, so much better now",positive
1494,The event was attended by over 500 people,neutral
1495,The report will be ready by end of day,neutral
1496,"This update ruined everything, reverting immediately",negative
1497,Loving the new features in this app,positive
1498,The new model was released yesterday,neutral
1499,"Waited two hours and still no help, unacceptable",negative
1500,"The app crashes constantly, completely unusable",negative
1501,"The app crashes constantly, completely unusable",negative
1502,"The app crashes constantly, completely unusable",negative
1503,"Just had the most wonderful meal, highly recommend",positive
1504,Happy to announce I got the job! Super excited,positive
1505,Updated my profile information on the platform,neutral
1506,Currently reading about machine learning,neutral
1507,Cannot believe how bad this service has gotten,negative
1508,My flight departs at 6am tomorrow morning,neutral
1509,Watched a documentary about space last night,neutral
1510,"Excellent customer support, resolved my issue immediately",positive
1511,Disgusted by the lack of response from support,negative
1512,"Waited two hours and still no help, unacceptable",negative
1513,Very frustrated with the constant delays,negative
1514,Updated my profile information on the platform,neutral
1515,"Just finished an incredible book, highly recommend",positive
1516,"Thrilled with my new purchase, exceeded expectations",positive
1517,"Horrible quality, broke after just two days",negative
1518,The conference starts next Monday in Paris,neutral
1519,Just checked the weather forecast for tomorrow,neutral
1520,"Just had the most wonderful meal, highly recommend",positive
1521,"Worst flight I have ever taken, never again",negative
1522,Updated my profile information on the platform,neutral
1523,"Just finished an incredible book, highly recommend",positive
1524,My flight departs at 6am tomorrow morning,neutral
1525,"Extremely disappointed, not what was advertised at all",negative
1526,"Just had the most wonderful meal, highly recommend",positive
1527,Happy to announce I got the job! Super excited,positive
1528,"This is the best day ever, feeling fantastic!",positive
1529,The new model was released yesterday,neutral
1530,Feeling motivated and ready to take on the world,positive
1531,"Waited two hours and still no help, unacceptable",negative
1532,Loving the new features in this app,positive
1533,"This update ruined everything, reverting immediately",negative
1534,Cannot believe how bad this service has gotten,negative
1535,This is the worst decision I have ever made,negative
1536,The event was attended by over 500 people,neutral
1537,"Terrible experience with customer service, very disappointed",negative
1538,"The new update is fantastic, so much better now",positive
1539,"The new update is fantastic, so much better now",positive
1540,The meeting is scheduled for 3pm,neutral
1541,My flight departs at 6am tomorrow morning,neutral
1542,"Beautiful weather today, perfect for a walk",positive
1543,Watched a documentary about space last night,neutral
1544,Best coffee I have ever had this morning,positive
1545,Very frustrated with the constant delays,negative
1546,"Excellent customer support, resolved my issue immediately",positive
1547,"Horrible quality, broke after just two days",negative
1548,"I love this product, absolutely amazing experience!",positive
1549,"The new update is fantastic, so much better now",positive
1550,"Beautiful weather today, perfect for a walk",positive
1551,"Great service today, very happy with the results",positive
1552,Updated my profile information on the platform,neutral
1553,"Beautiful weather today, perfect for a walk",positive
1554,The team is working on the new feature,neutral
1555,Loving the new features in this app,positive
1556,"Thrilled with my new purchase, exceeded expectations",positive
1557,The package arrived this afternoon,neutral
1558,Feeling motivated and ready to take on the world,positive
1559,"So angry about the hidden fees, total scam",negative
1560,So grateful for all the support from my friends,positive
1561,"The app crashes constantly, completely unusable",negative
1562,This is the worst decision I have ever made,negative
1563,"Just finished an incredible book, highly recommend",positive
1564,Downloaded the latest version of the software,neutral
1565,The meeting is scheduled for 3pm,neutral
1566,The new model was released yesterday,neutral
1567,"Great service today, very happy with the results",positive
1568,This product is a complete waste of money,negative
1569,The new model was released yesterday,neutral
1570,The package arrived this afternoon,neutral
1571,Currently reading about machine learning,neutral
1572,The team is working on the new feature,neutral
1573,"This is the best day ever, feeling fantastic!",positive
1574,"Great service today, very happy with the results",positive
1575,"Just finished an incredible book, highly recommend",positive
1576,"This update ruined everything, reverting immediately",negative
1577,"Worst flight I have ever taken, never again",negative
1578,Happy to announce I got the job! Super excited,positive
1579,"Just had the most wonderful meal, highly recommend",positive
1580,Very frustrated with the constant delays,negative
1581,"Horrible quality, broke after just two days",negative
1582,"Waited two hours and still no help, unacceptable",negative
1583,Best coffee I have ever had this morning,positive
1584,Loving the new features in this app,positive
1585,The report will be ready by end of day,neutral
1586,The meeting is scheduled for 3pm,neutral
1587,"Extremely disappointed, not what was advertised at all",negative
1588,Disgusted by the lack of response from support,negative
1589,So grateful for all the support from my friends,positive
1590,Updated my profile information on the platform,neutral
1591,Outstanding performance today by the whole team,positive
1592,"Never buying from this brand again, awful experience",negative
1593,The event was attended by over 500 people,neutral
1594,Cannot believe how bad this service has gotten,negative
1595,The meeting is scheduled for 3pm,neutral
1596,The restaurant opens at noon on weekdays,neutral
1597,The conference starts next Monday in Paris,neutral
1598,Updated my profile information on the platform,neutral
1599,The report will be ready by end of day,neutral
1600,"Just had the most wonderful meal, highly recommend",positive
1601,Very frustrated with the constant delays,negative
1602,This product is a complete waste of money,negative
1603,"Thrilled with my new purchase, exceeded expectations",positive
1604,"This is the best day ever, feeling fantastic!",positive
1605,"So angry about the hidden fees, total scam",negative
1606,The package arrived this afternoon,neutral
1607,"Worst flight I have ever taken, never again",negative
1608,"Such a letdown, expected so much more",negative
1609,The event was attended by over 500 people,neutral
1610,"The app crashes constantly, completely unusable",negative
1611,"I love this product, absolutely amazing experience!",positive
1612,"This is the best day ever, feeling fantastic!",positive
1613,"Never buying from this brand again, awful experience",negative
1614,The new model was released yesterday,neutral
1615,"The new update is fantastic, so much better now",positive
1616,So grateful for all the support from my friends,positive
1617,"This is the best day ever, feeling fantastic!",positive
1618,The restaurant opens at noon on weekdays,neutral
1619,Outstanding performance today by the whole team,positive
1620,"Waited two hours and still no help, unacceptable",negative
1621,"I love this product, absolutely amazing experience!",positive
1622,The restaurant opens at noon on weekdays,neutral
1623,The new model was released yesterday,neutral
1624,I am going to the store later today,neutral
1625,"This update ruined everything, reverting immediately",negative
1626,Disgusted by the lack of response from support,negative
1627,"Waited two hours and still no help, unacceptable",negative
1628,Best coffee I have ever had this morning,positive
1629,"Such a letdown, expected so much more",negative
1630,"This update ruined everything, reverting immediately",negative
1631,"The app crashes constantly, completely unusable",negative
1632,"Waited two hours and still no help, unacceptable",negative
1633,"Beautiful weather today, perfect for a walk",positive
1634,Currently reading about machine learning,neutral
1635,The meeting is scheduled for 3pm,neutral
1636,"Terrible experience with customer service, very disappointed",negative
1637,So grateful for all the support from my friends,positive
1638,The report will be ready by end of day,neutral
1639,The restaurant opens at noon on weekdays,neutral
1640,My flight departs at 6am tomorrow morning,neutral
1641,Loving the new features in this app,positive
1642,This product is a complete waste of money,negative
1643,"Terrible experience with customer service, very disappointed",negative
1644,The meeting is scheduled for 3pm,neutral
1645,Currently reading about machine learning,neutral
1646,"Such a letdown, expected so much more",negative
1647,The package arrived this afternoon,neutral
1648,My flight departs at 6am tomorrow morning,neutral
1649,"Never buying from this brand again, awful experience",negative
1650,My flight departs at 6am tomorrow morning,neutral
1651,The package arrived this afternoon,neutral
1652,"Terrible experience with customer service, very disappointed",negative
1653,The team is working on the new feature,neutral
1654,"Never buying from this brand again, awful experience",negative
1655,Cannot believe how bad this service has gotten,negative
1656,The package arrived this afternoon,neutral
1657,Disgusted by the lack of response from support,negative
1658,Currently reading about machine learning,neutral
1659,"Excellent customer support, resolved my issue immediately",positive
1660,The new model was released yesterday,neutral
1661,Updated my profile information on the platform,neutral
1662,The conference starts next Monday in Paris,neutral
1663,Cannot believe how bad this service has gotten,negative
1664,This product is a complete waste of money,negative
1665,Currently reading about machine learning,neutral
1666,"Waited two hours and still no help, unacceptable",negative
1667,Cannot believe how bad this service has gotten,negative
1668,"This is the best day ever, feeling fantastic!",positive
1669,"This update ruined everything, reverting immediately",negative
1670,Feeling motivated and ready to take on the world,positive
1671,Updated my profile information on the platform,neutral
1672,So grateful for all the support from my friends,positive
1673,"Waited two hours and still no help, unacceptable",negative
1674,This is the worst decision I have ever made,negative
1675,"So angry about the hidden fees, total scam",negative
1676,"So angry about the hidden fees, total scam",negative
1677,"The app crashes constantly, completely unusable",negative
1678,"This is the best day ever, feeling fantastic!",positive
1679,This is the worst decision I have ever made,negative
1680,"This is the best day ever, feeling fantastic!",positive
1681,"Horrible quality, broke after just two days",negative
1682,The package arrived this afternoon,neutral
1683,Outstanding performance today by the whole team,positive
1684,The meeting is scheduled for 3pm,neutral
1685,The conference starts next Monday in Paris,neutral
1686,Cannot believe how bad this service has gotten,negative
1687,The conference starts next Monday in Paris,neutral
1688,"Thrilled with my new purchase, exceeded expectations",positive
1689,"The new update is fantastic, so much better now",positive
1690,"Excellent customer support, resolved my issue immediately",positive
1691,Best coffee I have ever had this morning,positive
1692,"Never buying from this brand again, awful experience",negative
1693,Very frustrated with the constant delays,negative
1694,Loving the new features in this app,positive
1695,The report will be ready by end of day,neutral
1696,"This is the best day ever, feeling fantastic!",positive
1697,My flight departs at 6am tomorrow morning,neutral
1698,Loving the new features in this app,positive
1699,I am going to the store later today,neutral
1700,The event was attended by over 500 people,neutral
1701,"I love this product, absolutely amazing experience!",positive
1702,"So angry about the hidden fees, total scam",negative
1703,"Excellent customer support, resolved my issue immediately",positive
1704,The report will be ready by end of day,neutral
1705,Just checked the weather forecast for tomorrow,neutral
1706,"Just had the most wonderful meal, highly recommend",positive
1707,Updated my profile information on the platform,neutral
1708,The event was attended by over 500 people,neutral
1709,"Waited two hours and still no help, unacceptable",negative
1710,I am going to the store later today,neutral
1711,"Waited two hours and still no help, unacceptable",negative
1712,The package arrived this afternoon,neutral
1713,"The new update is fantastic, so much better now",positive
1714,"Terrible experience with customer service, very disappointed",negative
1715,I am going to the store later today,neutral
1716,"Beautiful weather today, perfect for a walk",positive
1717,Disgusted by the lack of response from support,negative
1718,"I love this product, absolutely amazing experience!",positive
1719,The meeting is scheduled for 3pm,neutral
1720,"This update ruined everything, reverting immediately",negative
1721,Disgusted by the lack of response from support,negative
1722,The conference starts next Monday in Paris,neutral
1723,"Thrilled with my new purchase, exceeded expectations",positive
1724,The team is working on the new feature,neutral
1725,"Excellent customer support, resolved my issue immediately",positive
1726,"Terrible experience with customer service, very disappointed",negative
1727,I am going to the store later today,neutral
1728,"Such a letdown, expected so much more",negative
1729,"Such a letdown, expected so much more",negative
1730,So grateful for all the support from my friends,positive
1731,The event was attended by over 500 people,neutral
1732,"The app crashes constantly, completely unusable",negative
1733,Best coffee I have ever had this morning,positive
1734,The meeting is scheduled for 3pm,neutral
1735,The meeting is scheduled for 3pm,neutral
1736,Cannot believe how bad this service has gotten,negative
1737,Happy to announce I got the job! Super excited,positive
1738,"Excellent customer support, resolved my issue immediately",positive
1739,The team is working on the new feature,neutral
1740,So grateful for all the support from my friends,positive
1741,"So angry about the hidden fees, total scam",negative
1742,This is the worst decision I have ever made,negative
1743,Happy to announce I got the job! Super excited,positive
1744,"Beautiful weather today, perfect for a walk",positive
1745,"Extremely disappointed, not what was advertised at all",negative
1746,The new model was released yesterday,neutral
1747,Feeling motivated and ready to take on the world,positive
1748,"Great service today, very happy with the results",positive
1749,"Extremely disappointed, not what was advertised at all",negative
1750,This product is a complete waste of money,negative
1751,This product is a complete waste of money,negative
1752,"Worst flight I have ever taken, never again",negative
1753,The meeting is scheduled for 3pm,neutral
1754,The conference starts next Monday in Paris,neutral
1755,My flight departs at 6am tomorrow morning,neutral
1756,Happy to announce I got the job! Super excited,positive
1757,Loving the new features in this app,positive
1758,"Extremely disappointed, not what was advertised at all",negative
1759,"The app crashes constantly, completely unusable",negative
1760,Just checked the weather forecast for tomorrow,neutral
1761,"The new update is fantastic, so much better now",positive
1762,The conference starts next Monday in Paris,neutral
1763,Currently reading about machine learning,neutral
1764,Cannot believe how bad this service has gotten,negative
1765,Feeling motivated and ready to take on the world,positive
1766,"Terrible experience with customer service, very disappointed",negative
1767,The team is working on the new feature,neutral
1768,Happy to announce I got the job! Super excited,positive
1769,Outstanding performance today by the whole team,positive
1770,My flight departs at 6am tomorrow morning,neutral
1771,Loving the new features in this app,positive
1772,The report will be ready by end of day,neutral
1773,Currently reading about machine learning,neutral
1774,Downloaded the latest version of the software,neutral
1775,Watched a documentary about space last night,neutral
1776,"Terrible experience with customer service, very disappointed",negative
1777,"This is the best day ever, feeling fantastic!",positive
1778,The conference starts next Monday in Paris,neutral
1779,The team is working on the new feature,neutral
1780,"Worst flight I have ever taken, never again",negative
1781,"Just had the most wonderful meal, highly recommend",positive
1782,Outstanding performance today by the whole team,positive
1783,The meeting is scheduled for 3pm,neutral
1784,Disgusted by the lack of response from support,negative
1785,The team is working on the new feature,neutral
1786,Best coffee I have ever had this morning,positive
1787,"Worst flight I have ever taken, never again",negative
1788,"Worst flight I have ever taken, never again",negative
1789,"Never buying from this brand again, awful experience",negative
1790,"Extremely disappointed, not what was advertised at all",negative
1791,The package arrived this afternoon,neutral
1792,"Terrible experience with customer service, very disappointed",negative
1793,The package arrived this afternoon,neutral
1794,"Worst flight I have ever taken, never again",negative
1795,"Just finished an incredible book, highly recommend",positive
1796,This is the worst decision I have ever made,negative
1797,"Never buying from this brand again, awful experience",negative
1798,Very frustrated with the constant delays,negative
1799,This is the worst decision I have ever made,negative
1800,"Thrilled with my new purchase, exceeded expectations",positive
1801,Loving the new features in this app,positive
1802,"Beautiful weather today, perfect for a walk",positive
1803,The event was attended by over 500 people,neutral
1804,Happy to announce I got the job! Super excited,positive
1805,The package arrived this afternoon,neutral
1806,The new model was released yesterday,neutral
1807,"Great service today, very happy with the results",positive
1808,"Thrilled with my new purchase, exceeded expectations",positive
1809,The meeting is scheduled for 3pm,neutral
1810,"The app crashes constantly, completely unusable",negative
1811,The meeting is scheduled for 3pm,neutral
1812,Best coffee I have ever had this morning,positive
1813,The restaurant opens at noon on weekdays,neutral
1814,"The app crashes constantly, completely unusable",negative
1815,"Worst flight I have ever taken, never again",negative
1816,Very frustrated with the constant delays,negative
1817,"Extremely disappointed, not what was advertised at all",negative
1818,Happy to announce I got the job! Super excited,positive
1819,"Worst flight I have ever taken, never again",negative
1820,Best coffee I have ever had this morning,positive
1821,Very frustrated with the constant delays,negative
1822,"I love this product, absolutely amazing experience!",positive
1823,Disgusted by the lack of response from support,negative
1824,Disgusted by the lack of response from support,negative
1825,"Horrible quality, broke after just two days",negative
1826,"Terrible experience with customer service, very disappointed",negative
1827,"Extremely disappointed, not what was advertised at all",negative
1828,"I love this product, absolutely amazing experience!",positive
1829,"This update ruined everything, reverting immediately",negative
1830,Currently reading about machine learning,neutral
1831,So grateful for all the support from my friends,positive
1832,"Great service today, very happy with the results",positive
1833,Cannot believe how bad this service has gotten,negative
1834,"Terrible experience with customer service, very disappointed",negative
1835,"Excellent customer support, resolved my issue immediately",positive
1836,"Great service today, very happy with the results",positive
1837,Disgusted by the lack of response from support,negative
1838,Very frustrated with the constant delays,negative
1839,The event was attended by over 500 people,neutral
1840,"Thrilled with my new purchase, exceeded expectations",positive
1841,This is the worst decision I have ever made,negative
1842,"Excellent customer support, resolved my issue immediately",positive
1843,Currently reading about machine learning,neutral
1844,Loving the new features in this app,positive
1845,"Terrible experience with customer service, very disappointed",negative
1846,"Extremely disappointed, not what was advertised at all",negative
1847,"Excellent customer support, resolved my issue immediately",positive
1848,"Terrible experience with customer service, very disappointed",negative
1849,Best coffee I have ever had this morning,positive
1850,The conference starts next Monday in Paris,neutral
1851,"Excellent customer support, resolved my issue immediately",positive
1852,Watched a documentary about space last night,neutral
1853,"Never buying from this brand again, awful experience",negative
1854,The conference starts next Monday in Paris,neutral
1855,"Such a letdown, expected so much more",negative
1856,So grateful for all the support from my friends,positive
1857,Loving the new features in this app,positive
1858,"Horrible quality, broke after just two days",negative
1859,Cannot believe how bad this service has gotten,negative
1860,The report will be ready by end of day,neutral
1861,Outstanding performance today by the whole team,positive
1862,Just checked the weather forecast for tomorrow,neutral
1863,"Just had the most wonderful meal, highly recommend",positive
1864,"Thrilled with my new purchase, exceeded expectations",positive
1865,The report will be ready by end of day,neutral
1866,Updated my profile information on the platform,neutral
1867,"Beautiful weather today, perfect for a walk",positive
1868,Outstanding performance today by the whole team,positive
1869,Downloaded the latest version of the software,neutral
1870,"Extremely disappointed, not what was advertised at all",negative
1871,The meeting is scheduled for 3pm,neutral
1872,"Just had the most wonderful meal, highly recommend",positive
1873,The conference starts next Monday in Paris,neutral
1874,This product is a complete waste of money,negative
1875,"Excellent customer support, resolved my issue immediately",positive
1876,"Waited two hours and still no help, unacceptable",negative
1877,Cannot believe how bad this service has gotten,negative
1878,Very frustrated with the constant delays,negative
1879,"The new update is fantastic, so much better now",positive
1880,"Worst flight I have ever taken, never again",negative
1881,"Great service today, very happy with the results",positive
1882,"This is the best day ever, feeling fantastic!",positive
1883,Very frustrated with the constant delays,negative
1884,The meeting is scheduled for 3pm,neutral
1885,"The new update is fantastic, so much better now",positive
1886,The package arrived this afternoon,neutral
1887,Watched a documentary about space last night,neutral
1888,"This update ruined everything, reverting immediately",negative
1889,"Such a letdown, expected so much more",negative
1890,Disgusted by the lack of response from support,negative
1891,"Worst flight I have ever taken, never again",negative
1892,"Great service today, very happy with the results",positive
1893,The package arrived this afternoon,neutral
1894,The package arrived this afternoon,neutral
1895,"Just had the most wonderful meal, highly recommend",positive
1896,"Waited two hours and still no help, unacceptable",negative
1897,"The new update is fantastic, so much better now",positive
1898,Happy to announce I got the job! Super excited,positive
1899,Very frustrated with the constant delays,negative
1900,My flight departs at 6am tomorrow morning,neutral
1901,Feeling motivated and ready to take on the world,positive
1902,The report will be ready by end of day,neutral
1903,"Excellent customer support, resolved my issue immediately",positive
1904,"Waited two hours and still no help, unacceptable",negative
1905,"Great service today, very happy with the results",positive
1906,The report will be ready by end of day,neutral
1907,"So angry about the hidden fees, total scam",negative
1908,"The new update is fantastic, so much better now",positive
1909,"Just had the most wonderful meal, highly recommend",positive
1910,This is the worst decision I have ever made,negative
1911,The restaurant opens at noon on weekdays,neutral
1912,"Waited two hours and still no help, unacceptable",negative
1913,The restaurant opens at noon on weekdays,neutral
1914,This product is a complete waste of money,negative
1915,"Worst flight I have ever taken, never again",negative
1916,"I love this product, absolutely amazing experience!",positive
1917,"Beautiful weather today, perfect for a walk",positive
1918,The event was attended by over 500 people,neutral
1919,Cannot believe how bad this service has gotten,negative
1920,"Horrible quality, broke after just two days",negative
1921,"Worst flight I have ever taken, never again",negative
1922,Feeling motivated and ready to take on the world,positive
1923,So grateful for all the support from my friends,positive
1924,Cannot believe how bad this service has gotten,negative
1925,My flight departs at 6am tomorrow morning,neutral
1926,"Excellent customer support, resolved my issue immediately",positive
1927,The conference starts next Monday in Paris,neutral
1928,Happy to announce I got the job! Super excited,positive
1929,Outstanding performance today by the whole team,positive
1930,"The app crashes constantly, completely unusable",negative
1931,My flight departs at 6am tomorrow morning,neutral
1932,Loving the new features in this app,positive
1933,"This update ruined everything, reverting immediately",negative
1934,"I love this product, absolutely amazing experience!",positive
1935,"Horrible quality, broke after just two days",negative
1936,"Worst flight I have ever taken, never again",negative
1937,Just checked the weather forecast for tomorrow,neutral
1938,"This is the best day ever, feeling fantastic!",positive
1939,Watched a documentary about space last night,neutral
1940,The package arrived this afternoon,neutral
1941,Outstanding performance today by the whole team,positive
1942,"Such a letdown, expected so much more",negative
1943,"Just had the most wonderful meal, highly recommend",positive
1944,"Great service today, very happy with the results",positive
1945,"Waited two hours and still no help, unacceptable",negative
1946,Best coffee I have ever had this morning,positive
1947,"This update ruined everything, reverting immediately",negative
1948,Very frustrated with the constant delays,negative
1949,Downloaded the latest version of the software,neutral
1950,Watched a documentary about space last night,neutral
1951,"This is the best day ever, feeling fantastic!",positive
1952,The event was attended by over 500 people,neutral
1953,Updated my profile information on the platform,neutral
1954,"The app crashes constantly, completely unusable",negative
1955,So grateful for all the support from my friends,positive
1956,"Beautiful weather today, perfect for a walk",positive
1957,"Thrilled with my new purchase, exceeded expectations",positive
1958,So grateful for all the support from my friends,positive
1959,The conference starts next Monday in Paris,neutral
1960,The report will be ready by end of day,neutral
1961,Disgusted by the lack of response from support,negative
1962,"I love this product, absolutely amazing experience!",positive
1963,Loving the new features in this app,positive
1964,Loving the new features in this app,positive
1965,"This update ruined everything, reverting immediately",negative
1966,"So angry about the hidden fees, total scam",negative
1967,"This update ruined everything, reverting immediately",negative
1968,The new model was released yesterday,neutral
1969,The new model was released yesterday,neutral
1970,Very frustrated with the constant delays,negative
1971,Outstanding performance today by the whole team,positive
1972,"Terrible experience with customer service, very disappointed",negative
1973,"Great service today, very happy with the results",positive
1974,"Great service today, very happy with the results",positive
1975,This product is a complete waste of money,negative
1976,"Waited two hours and still no help, unacceptable",negative
1977,The package arrived this afternoon,neutral
1978,"Thrilled with my new purchase, exceeded expectations",positive
1979,Updated my profile information on the platform,neutral
1980,"So angry about the hidden fees, total scam",negative
1981,The meeting is scheduled for 3pm,neutral
1982,The team is working on the new feature,neutral
1983,"Thrilled with my new purchase, exceeded expectations",positive
1984,"Waited two hours and still no help, unacceptable",negative
1985,"So angry about the hidden fees, total scam",negative
1986,My flight departs at 6am tomorrow morning,neutral
1987,This product is a complete waste of money,negative
1988,"Just finished an incredible book, highly recommend",positive
1989,"Great service today, very happy with the results",positive
1990,"Terrible experience with customer service, very disappointed",negative
1991,Just checked the weather forecast for tomorrow,neutral
1992,"Never buying from this brand again, awful experience",negative
1993,Outstanding performance today by the whole team,positive
1994,"Terrible experience with customer service, very disappointed",negative
1995,"Just finished an incredible book, highly recommend",positive
1996,Updated my profile information on the platform,neutral
1997,This is the worst decision I have ever made,negative
1998,The report will be ready by end of day,neutral
1999,Best coffee I have ever had this morning,positive
2000,Watched a documentary about space last night,neutral
2001,"Terrible experience with customer service, very disappointed",negative
2002,Feeling motivated and ready to take on the world,positive
2003,The conference starts next Monday in Paris,neutral
2004,The package arrived this afternoon,neutral
2005,Downloaded the latest version of the software,neutral
2006,The new model was released yesterday,neutral
2007,Watched a documentary about space last night,neutral
2008,Watched a documentary about space last night,neutral
2009,"Horrible quality, broke after just two days",negative
2010,Loving the new features in this app,positive
2011,The restaurant opens at noon on weekdays,neutral
2012,"Excellent customer support, resolved my issue immediately",positive
2013,Currently reading about machine learning,neutral
2014,"Just finished an incredible book, highly recommend",positive
2015,The restaurant opens at noon on weekdays,neutral
2016,The package arrived this afternoon,neutral
2017,"The new update is fantastic, so much better now",positive
2018,"Terrible experience with customer service, very disappointed",negative
2019,The new model was released yesterday,neutral
2020,Very frustrated with the constant delays,negative
2021,"Extremely disappointed, not what was advertised at all",negative
2022,"Just had the most wonderful meal, highly recommend",positive
2023,Feeling motivated and ready to take on the world,positive
2024,The event was attended by over 500 people,neutral
2025,"Waited two hours and still no help, unacceptable",negative
2026,Cannot believe how bad this service has gotten,negative
2027,Loving the new features in this app,positive
2028,"Thrilled with my new purchase, exceeded expectations",positive
2029,"Beautiful weather today, perfect for a walk",positive
2030,The report will be ready by end of day,neutral
2031,"So angry about the hidden fees, total scam",negative
2032,"Great service today, very happy with the results",positive
2033,Just checked the weather forecast for tomorrow,neutral
2034,"This is the best day ever, feeling fantastic!",positive
2035,So grateful for all the support from my friends,positive
2036,"The app crashes constantly, completely unusable",negative
2037,The restaurant opens at noon on weekdays,neutral
2038,"The app crashes constantly, completely unusable",negative
2039,"Thrilled with my new purchase, exceeded expectations",positive
2040,"Terrible experience with customer service, very disappointed",negative
2041,Best coffee I have ever had this morning,positive
2042,The restaurant opens at noon on weekdays,neutral
2043,The conference starts next Monday in Paris,neutral
2044,"Waited two hours and still no help, unacceptable",negative
2045,My flight departs at 6am tomorrow morning,neutral
2046,"So angry about the hidden fees, total scam",negative
2047,"Excellent customer support, resolved my issue immediately",positive
2048,My flight departs at 6am tomorrow morning,neutral
2049,Loving the new features in this app,positive
